,Max,Mean,Median,Min,RMSE,STD,sse
KITTI_03_1,5.1689652964,1.3070775434,1.1496718426,0.2420719552,1.4773588734,0.6885764564,1746.0713927037
KITTI_03_2,4.5247145953,1.0876371526,0.9562450049,0.0644512607,1.2437373073,0.6032643813,1237.5059915865
KITTI_03_3,4.562642446,0.9244442806,0.8686092736,0.1361670783,1.1178504954,0.6284842894,999.6717840212
KITTI_03_4,3.9327782863,1.640972186,1.5791597807,0.250646421,1.7725397553,0.6701548096,2513.5177471885
KITTI_03_5,5.6137388438,0.8101526345,0.6559798302,0.1872222936,1.0953730053,0.7372209503,959.8736165889
KITTI_03_1_m,4.3142569149,0.6019022393,0.4532208259,0.1428065133,0.8307353785,0.5725687411,552.0970152164
KITTI_03_2_m,4.5670898063,0.8444467853,0.7344937196,0.1478920292,1.0344127902,0.5974273573,856.0078563461
KITTI_03_3_m,3.4161043689,1.2792535661,1.137620194,0.0621971004,1.4233349682,0.6240134177,1620.7059453476
KITTI_03_4_m,4.8331652376,1.3352420558,1.1968917827,0.0578531094,1.4965824669,0.6759347104,1791.8072642529
KITTI_03_5_m,4.0734011531,1.4319004879,1.3545937714,0.4480759797,1.556987797,0.611450728,1939.3688000082
,,,,,,,
,,,,rmse_org,1.3413718873,,
,,,,rmse_m,1.2684106801,,
